"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2022 EV3)","2022-Mar-09 14:13 ± < 00:01","0.00053","0.00053","10.46","9.97","29.8","2.9 m -  6.4 m","0"
"(2022 ES3)","2022-Mar-13 19:18 ± < 00:01","0.00223","0.00222","18.32","18.26","27.2","9.8 m -   22 m","0"
"(2022 FA)","2022-Mar-15 01:52 ± < 00:01","0.00126","0.00126","10.16","9.95","27.1","9.9 m -   22 m","1"
"(2022 FZ3)","2022-Mar-24 05:19 ±    00:01","0.00204","0.00204","8.47","8.31","28.9","4.5 m - 10.0 m","0"
"(2022 FD1)","2022-Mar-25 09:13 ± < 00:01","0.00010","0.00010","18.51","17.00","31.1","1.6 m -  3.7 m","1"
"(2022 FA1)","2022-Mar-26 08:52 ± < 00:01","0.00176","0.00176","13.37","13.25","29.3","3.7 m -  8.4 m","0"
"(2022 FB2)","2022-Mar-28 15:58 ± < 00:01","0.00100","0.00100","13.70","13.50","26.8","12 m -   26 m","1"
"(2022 GX2)","2022-Mar-30 11:37 ±    00:48","0.00098","0.00097","9.81","9.53","29.3","3.6 m -  8.1 m","0"
"(2022 GB)","2022-Mar-30 18:19 ± < 00:01","0.00189","0.00189","8.23","8.05","29.4","3.5 m -  7.8 m","0"
"(2022 GB2)","2022-Mar-30 18:42 ± < 00:01","0.00148","0.00148","6.01","5.70","28.9","4.4 m -  9.8 m","0"
"(2022 GC)","2022-Apr-01 01:48 ± < 00:01","0.00035","0.00035","15.60","15.11","29.0","4.2 m -  9.4 m","1"
"(2022 GQ)","2022-Apr-01 16:59 ± < 00:01","0.00036","0.00036","6.95","5.80","30.4","2.2 m -  4.9 m","0"
"(2022 GN1)","2022-Apr-06 03:02 ± < 00:01","0.00084","0.00084","15.51","15.30","27.8","7.3 m -   16 m","1"
"(2022 GZ1)","2022-Apr-06 11:58 ± < 00:01","0.00160","0.00160","11.22","11.07","28.9","4.4 m -  9.9 m","0"
"(2022 GQ1)","2022-Apr-07 11:24 ± < 00:01","0.00149","0.00149","7.77","7.53","28.1","6.5 m -   14 m","0"
"(2022 GQ5)","2022-Apr-08 16:20 ± < 00:01","0.00013","0.00013","14.18","12.61","31.7","1.2 m -  2.7 m","0"
"(2022 GF3)","2022-Apr-09 16:40 ± < 00:01","0.00151","0.00151","17.37","17.27","27.9","7.0 m -   16 m","0"
"(2022 HM)","2022-Apr-21 01:42 ± < 00:01","0.00164","0.00164","14.61","14.50","27.6","8.2 m -   18 m","0"
"(2022 HB1)","2022-Apr-26 21:52 ± < 00:01","0.00134","0.00134","14.14","14.00","27.3","9.2 m -   21 m","1"
"(2022 JV)","2022-May-05 05:11 ± < 00:01","0.00213","0.00212","9.66","9.52","29.6","3.1 m -  7.0 m","0"
"(2022 JN11)","2022-May-05 11:30 ± < 00:01","0.00177","0.00176","6.50","6.26","29.4","3.5 m -  7.8 m","0"
"(2022 JM2)","2022-May-06 18:23 ± < 00:01","0.00103","0.00103","29.80","29.71","27.9","7.0 m -   16 m","1"
"(2022 JM)","2022-May-09 20:41 ± < 00:01","0.00253","0.00253","4.93","4.71","28.8","4.6 m -   10 m","0"
"(2022 JO1)","2022-May-10 12:47 ± < 00:01","0.00046","0.00046","13.87","13.45","27.2","9.5 m -   21 m","2"
"(2022 KG1)","2022-May-22 11:11 ± < 00:01","0.00040","0.00040","9.11","8.36","28.9","4.5 m -   10 m","1"
"(2022 KP6)","2022-May-25 15:05 ± < 00:01","0.00012","0.00012","9.88","7.21","29.4","3.5 m -  7.8 m","2"
"(2022 KO3)","2022-May-30 17:32 ± < 00:01","0.00195","0.00195","9.74","9.60","28.1","6.5 m -   15 m","0"
"(2022 KQ5)","2022-May-30 17:40 ± < 00:01","0.00027","0.00027","7.31","5.81","29.1","4.0 m -  9.0 m","1"
"(2022 LU2)","2022-Jun-08 00:02 ± < 00:01","0.00111","0.00111","9.83","9.58","27.8","7.2 m -   16 m","1"
"(2022 MJ15)","2022-Jun-20 12:24 ± < 00:01","0.00106","0.00105","7.47","7.12","31.2","1.6 m -  3.5 m","0"
"(2022 MN1)","2022-Jun-28 09:29 ± < 00:01","0.00239","0.00239","9.87","9.75","27.3","9.3 m -   21 m","0"
"(2022 MJ3)","2022-Jul-01 12:44 ± < 00:01","0.00101","0.00101","8.77","8.46","29.6","3.3 m -  7.3 m","0"
"(2022 NK)","2022-Jul-02 13:07 ± < 00:01","0.00212","0.00211","12.39","12.29","27.3","9.3 m -   21 m","0"
"(2022 NE)","2022-Jul-06 10:56 ± < 00:01","0.00091","0.00091","10.68","10.40","28.6","4.9 m -   11 m","0"
"(2022 NF)","2022-Jul-07 13:44 ± < 00:01","0.00059","0.00059","11.41","11.01","28.5","5.4 m -   12 m","1"
"(2022 NR)","2022-Jul-10 08:17 ± < 00:01","0.00257","0.00257","8.30","8.17","25.9","18 m -   40 m","1"
"(2022 OR1)","2022-Jul-15 18:17 ± < 00:01","0.00232","0.00232","4.68","4.43","28.0","6.8 m -   15 m","0"
"(2022 PW40)","2022-Aug-05 13:45 ± < 00:01","0.00088","0.00087","6.90","6.45","31.9","1.1 m -  2.5 m","0"
"(2022 PW1)","2022-Aug-08 18:58 ±    00:05","0.00163","0.00163","8.60","8.40","27.7","7.6 m -   17 m","0"
"(2022 QN4)","2022-Aug-11 10:31 ±    00:18","0.00109","0.00109","11.63","11.41","26.7","12 m -   27 m","1"
"(2022 QA)","2022-Aug-16 21:34 ± < 00:01","0.00200","0.00200","15.23","15.14","26.9","11 m -   24 m","1"
"(2022 QO2)","2022-Aug-20 07:46 ±    00:02","0.00137","0.00137","18.08","17.98","27.7","7.8 m -   17 m","1"
"(2022 QW1)","2022-Aug-20 14:42 ± < 00:01","0.00137","0.00137","10.92","10.74","27.1","10 m -   23 m","1"
"(2022 QC265)","2022-Aug-20 19:34 ± < 00:01","0.00149","0.00145","13.13","13.00","29.6","3.2 m -  7.1 m","0"
"(2022 QE1)","2022-Aug-20 19:59 ± < 00:01","0.00124","0.00123","6.35","6.00","28.3","5.7 m -   13 m","0"
"(2022 QF265)","2022-Aug-24 09:38 ± < 00:01","0.00233","0.00228","11.57","11.47","30.0","2.6 m -  5.9 m","0"
"(2022 QE265)","2022-Aug-24 09:55 ± < 00:01","0.00176","0.00175","10.06","9.90","29.0","4.3 m -  9.6 m","0"
"(2022 RL)","2022-Aug-31 08:39 ± < 00:01","0.00094","0.00094","8.29","7.94","28.7","4.8 m -   11 m","0"
"(2022 QG265)","2022-Aug-31 23:27 ± < 00:01","0.00128","0.00126","12.04","11.87","30.2","2.4 m -  5.4 m","0"
"(2022 RT1)","2022-Sep-01 01:18 ± < 00:01","0.00022","0.00022","17.73","17.04","31.5","1.4 m -  3.0 m","0"
"(2022 RB2)","2022-Sep-03 20:59 ± < 00:01","0.00177","0.00177","13.02","12.91","27.5","8.4 m -   19 m","0"
"(2022 SJ3)","2022-Sep-17 11:04 ±    00:01","0.00093","0.00093","15.79","15.60","30.5","2.1 m -  4.6 m","0"
"(2022 SX55)","2022-Sep-17 13:34 ±    00:08","0.00037","0.00037","12.61","12.02","30.2","2.4 m -  5.4 m","0"
"(2022 SL301)","2022-Sep-19 20:31 ± < 00:01","0.00108","0.00103","12.62","12.42","31.1","1.6 m -  3.6 m","0"
"(2022 SK4)","2022-Sep-19 21:41 ± < 00:01","0.00010","0.00010","13.01","10.76","30.4","2.3 m -  5.1 m","1"
"(2022 SD9)","2022-Sep-23 21:36 ± < 00:01","0.00165","0.00165","13.52","13.40","28.4","5.6 m -   12 m","0"
"(2022 SF19)","2022-Sep-24 23:56 ±    00:02","0.00113","0.00112","12.69","12.50","29.3","3.7 m -  8.2 m","0"
"(2022 TL)","2022-Oct-01 23:45 ±    00:05","0.00253","0.00252","16.35","16.28","27.9","6.9 m -   15 m","0"
"(2022 TD)","2022-Oct-06 03:53 ± < 00:01","0.00249","0.00249","10.11","10.00","27.7","7.6 m -   17 m","0"
"(2022 TY3)","2022-Oct-12 19:26 ±    00:19","0.00112","0.00111","26.86","26.78","26.7","12 m -   27 m","1"
"(2022 TW2)","2022-Oct-13 02:53 ± < 00:01","0.00180","0.00180","4.30","3.94","28.6","5.2 m -   12 m","0"
"(2022 TQ2)","2022-Oct-13 05:08 ± < 00:01","0.00113","0.00113","12.58","12.39","27.0","11 m -   24 m","1"
"(2022 TM2)","2022-Oct-15 09:18 ± < 00:01","0.00141","0.00140","15.48","15.36","25.2","24 m -   53 m","2"
"(2022 UY123)","2022-Oct-16 19:39 ± < 00:01","0.00179","0.00176","8.71","8.54","30.6","2.0 m -  4.5 m","0"
"(2022 UG3)","2022-Oct-16 22:27 ± < 00:01","0.00043","0.00043","15.52","15.12","29.3","3.6 m -  8.1 m","1"
"(2022 UA5)","2022-Oct-17 12:31 ± < 00:01","0.00112","0.00112","4.49","3.93","29.9","2.7 m -  6.1 m","0"
"(2022 UE146)","2022-Oct-18 19:11 ± < 00:01","0.00181","0.00178","6.91","6.70","32.0","1.1 m -  2.4 m","0"
"(2022 UR4)","2022-Oct-20 22:45 ± < 00:01","0.00011","0.00011","15.22","13.60","28.9","4.4 m -  9.7 m","2"
"(2022 UU123)","2022-Oct-22 19:15 ± < 00:01","0.00166","0.00165","8.18","7.98","30.6","2.0 m -  4.6 m","0"
"(2022 UY5)","2022-Oct-22 21:41 ± < 00:01","0.00153","0.00153","7.91","7.69","27.3","9.4 m -   21 m","1"
"(2022 UV10)","2022-Oct-24 02:15 ± < 00:01","0.00232","0.00232","9.14","9.01","28.1","6.3 m -   14 m","0"
"(2022 UC7)","2022-Oct-24 02:45 ± < 00:01","0.00232","0.00232","10.02","9.91","27.7","7.7 m -   17 m","0"
"(2022 UQ40)","2022-Oct-24 02:48 ± < 00:01","0.00063","0.00063","8.97","8.49","28.3","5.8 m -   13 m","1"
"(2022 UV7)","2022-Oct-24 09:30 ± < 00:01","0.00163","0.00163","12.56","12.43","29.5","3.3 m -  7.5 m","0"
"(2022 UL147)","2022-Oct-25 12:12 ± < 00:01","0.00062","0.00062","13.89","13.57","30.5","2.1 m -  4.7 m","0"
"(2022 UC14)","2022-Oct-26 11:06 ±    00:02","0.00150","0.00150","6.53","6.25","29.7","3.1 m -  6.9 m","0"
"(2022 UW14)","2022-Oct-27 17:15 ± < 00:01","0.00183","0.00183","8.60","8.43","28.8","4.7 m -   11 m","0"
"(2022 UB13)","2022-Oct-27 20:44 ± < 00:01","0.00209","0.00209","7.44","7.27","29.9","2.8 m -  6.2 m","0"
"(2022 UU63)","2022-Oct-27 21:01 ± < 00:01","0.00051","0.00050","12.93","12.52","31.0","1.7 m -  3.7 m","0"
"(2022 UA14)","2022-Oct-27 22:49 ± < 00:01","0.00218","0.00218","11.59","11.48","28.3","5.7 m -   13 m","0"
"(2022 VH)","2022-Oct-28 22:42 ±    00:10","0.00218","0.00218","13.80","13.71","26.4","14 m -   31 m","1"
"(2022 UW16)","2022-Oct-29 10:15 ±    00:03","0.00026","0.00026","12.32","11.45","28.9","4.4 m -  9.9 m","1"
"(2022 UW15)","2022-Oct-30 11:44 ± < 00:01","0.00081","0.00080","7.90","7.47","30.2","2.5 m -  5.5 m","0"
"(2022 UK24)","2022-Oct-31 16:42 ± < 00:01","0.00252","0.00251","15.99","15.92","28.1","6.3 m -   14 m","0"
"(2022 VG1)","2022-Oct-31 20:59 ±    00:02","0.00120","0.00120","12.03","11.84","28.9","4.4 m -  9.9 m","0"
"(2022 WM3)","2022-Nov-20 02:52 ± < 00:01","0.00132","0.00132","6.38","6.05","28.4","5.5 m -   12 m","0"
"(2022 WR4)","2022-Nov-22 02:50 ± < 00:01","0.00178","0.00177","8.43","8.25","30.0","2.6 m -  5.9 m","0"
"(2022 WO6)","2022-Nov-23 00:07 ±    00:01","0.00213","0.00213","7.42","7.25","29.0","4.2 m -  9.3 m","0"
"(2022 WS27)","2022-Nov-23 12:18 ± < 00:01","0.00226","0.00221","10.04","9.92","30.4","2.3 m -  5.0 m","0"
"(2022 WT27)","2022-Nov-23 17:40 ± < 00:01","0.00102","0.00102","8.14","7.81","32.3","0.91 m -  2.0 m","0"
"(2022 WS10)","2022-Nov-27 05:44 ±    00:02","0.00183","0.00183","9.52","9.37","26.6","13 m -   29 m","1"
"(2022 WN9)","2022-Nov-27 22:32 ± < 00:01","0.00032","0.00032","16.93","16.43","29.6","3.3 m -  7.3 m","1"
"(2022 WM7)","2022-Nov-28 02:24 ± < 00:01","0.00053","0.00052","11.58","11.13","29.9","2.8 m -  6.3 m","0"
"(2022 WE11)","2022-Nov-29 02:34 ± < 00:01","0.00198","0.00197","9.94","9.80","29.9","2.8 m -  6.3 m","0"
"(2022 XL)","2022-Dec-01 05:26 ±    00:01","0.00101","0.00101","9.84","9.57","29.3","3.7 m -  8.2 m","0"
"(2022 XB)","2022-Dec-02 21:31 ±    00:01","0.00252","0.00252","9.06","8.94","28.7","4.9 m -   11 m","0"
"(2022 XX)","2022-Dec-14 10:43 ±    00:09","0.00139","0.00139","6.65","6.35","28.7","4.8 m -   11 m","0"
"(2022 YO1)","2022-Dec-17 18:40 ± < 00:01","0.00018","0.00018","15.40","14.43","30.0","2.6 m -  5.9 m","1"
"(2022 YJ)","2022-Dec-18 11:54 ± < 00:01","0.00188","0.00188","24.78","24.73","28.9","4.3 m -  9.7 m","0"
"(2022 YX1)","2022-Dec-18 16:55 ± < 00:01","0.00176","0.00176","7.62","7.42","28.4","5.5 m -   12 m","0"
"(2022 YG2)","2022-Dec-22 18:05 ± < 00:01","0.00244","0.00244","6.38","6.21","28.9","4.5 m -   10 m","0"
"(2022 YW6)","2022-Dec-23 10:30 ±    00:06","0.00141","0.00139","29.84","29.78","28.7","4.8 m -   11 m","0"
"(2022 YX2)","2022-Dec-24 19:34 ± < 00:01","0.00154","0.00154","11.27","11.12","28.5","5.4 m -   12 m","0"
"(2022 YA6)","2022-Dec-26 07:59 ± < 00:01","0.00095","0.00095","12.60","12.37","27.9","7.1 m -   16 m","1"
"(2022 YR4)","2022-Dec-27 07:02 ± < 00:01","0.00201","0.00201","7.67","7.49","28.7","4.8 m -   11 m","0"
"(2023 AC1)","2023-Jan-12 03:37 ±    00:01","0.00163","0.00162","13.99","13.87","29.0","4.2 m -  9.5 m","0"
"(2023 AV)","2023-Jan-12 20:09 ±    00:05","0.00010","0.00010","15.05","13.24","30.7","2.0 m -  4.4 m","1"
"(2023 AN6)","2023-Jan-15 12:51 ± < 00:01","0.00065","0.00065","14.05","13.76","30.6","2.0 m -  4.4 m","0"
"(2023 BY2)","2023-Jan-21 03:24 ± < 00:01","0.00169","0.00169","17.82","17.73","29.5","3.4 m -  7.5 m","0"
"(2023 BX5)","2023-Jan-25 15:27 ±    00:04","0.00224","0.00224","10.22","10.10","28.4","5.5 m -   12 m","0"
"(2023 BL1)","2023-Jan-25 19:38 ± < 00:01","0.00150","0.00150","14.66","14.54","26.2","15 m -   34 m","1"
"(2023 BL2)","2023-Jan-26 04:32 ± < 00:01","0.00248","0.00248","10.54","10.44","29.1","4.0 m -  8.9 m","0"
"(2023 BU)","2023-Jan-27 00:29 ± < 00:01","0.00007","0.00007","9.27","2.43","29.7","3.1 m -  6.9 m","2"
"(2023 BZ3)","2023-Jan-27 00:41 ± < 00:01","0.00188","0.00187","6.76","6.54","29.1","4.1 m -  9.1 m","0"
"(2023 CK)","2023-Jan-30 07:54 ±    00:02","0.00070","0.00070","9.60","9.19","27.0","10 m -   23 m","2"
"(2023 BJ7)","2023-Jan-30 13:34 ± < 00:01","0.00248","0.00248","8.00","7.86","28.8","4.7 m -   11 m","0"
"(2023 CG4)","2023-Feb-09 21:18 ±    00:52","0.00184","0.00180","12.13","12.01","29.2","3.8 m -  8.5 m","0"
"(2023 DR)","2023-Feb-25 05:47 ± < 00:01","0.00051","0.00051","13.96","13.58","29.9","2.8 m -  6.2 m","0"
"(2023 EN)","2023-Mar-09 11:25 ± < 00:01","0.00091","0.00091","12.82","12.59","28.1","6.4 m -   14 m","1"
"(2023 ET2)","2023-Mar-12 18:26 ±    00:28","0.00105","0.00103","13.46","13.27","30.6","2.1 m -  4.6 m","0"
"(2023 EY)","2023-Mar-17 11:35 ± < 00:01","0.00160","0.00160","8.12","7.92","26.8","12 m -   26 m","1"
"(2023 FX48)","2023-Mar-18 19:31 ± < 00:01","0.00149","0.00143","7.95","7.72","31.4","1.4 m -  3.1 m","0"
"(2023 FO)","2023-Mar-19 06:36 ± < 00:01","0.00231","0.00230","6.23","6.04","29.4","3.4 m -  7.7 m","0"
"(2023 FZ48)","2023-Mar-20 09:51 ± < 00:01","0.00120","0.00119","10.42","10.21","29.5","3.3 m -  7.4 m","0"
"(2023 FN6)","2023-Mar-25 12:23 ± < 00:01","0.00152","0.00152","17.98","17.88","29.1","4.0 m -  9.0 m","0"
"(2023 DZ2)","2023-Mar-25 19:51 ± < 00:01","0.00117","0.00117","7.78","7.48","24.3","37 m -   83 m","3"
"(2023 FH7)","2023-Mar-30 18:08 ± < 00:01","0.00111","0.00110","8.69","8.40","28.8","4.6 m -   10 m","0"
"(2023 GQ)","2023-Apr-11 11:35 ± < 00:01","0.00089","0.00089","20.57","20.43","28.4","5.5 m -   12 m","0"
"(2023 GP3)","2023-Apr-11 17:26 ± < 00:01","0.00173","0.00173","8.13","7.93","28.6","5.1 m -   11 m","0"
"(2023 HE)","2023-Apr-14 18:42 ± < 00:01","0.00205","0.00205","13.88","13.79","27.7","7.7 m -   17 m","0"
"(2023 HZ)","2023-Apr-15 05:58 ± < 00:01","0.00192","0.00191","13.04","12.93","29.1","4.1 m -  9.1 m","0"
"(2023 HB)","2023-Apr-17 06:58 ± < 00:01","0.00130","0.00130","12.25","12.08","30.5","2.1 m -  4.8 m","0"
"(2023 HH)","2023-Apr-18 12:48 ± < 00:01","0.00096","0.00096","10.62","10.36","29.0","4.3 m -  9.6 m","0"
"(2023 HT)","2023-Apr-18 16:17 ± < 00:01","0.00119","0.00119","10.72","10.50","30.0","2.7 m -  6.0 m","0"
"(2023 HO36)","2023-Apr-18 17:00 ±    00:02","0.00125","0.00124","8.69","8.44","30.6","2.1 m -  4.6 m","0"
"(2023 HK)","2023-Apr-20 05:07 ± < 00:01","0.00228","0.00228","15.93","15.85","27.2","9.7 m -   22 m","1"
"(2023 HW3)","2023-Apr-23 07:33 ± < 00:01","0.00140","0.00140","15.06","14.94","28.9","4.4 m -  9.8 m","0"
"(2023 HD7)","2023-Apr-30 19:22 ± < 00:01","0.00155","0.00155","11.43","11.27","28.6","5.1 m -   11 m","0"
"(2023 JO)","2023-May-08 20:14 ± < 00:01","0.00062","0.00062","18.83","18.59","29.2","3.8 m -  8.6 m","0"
"(2023 JF)","2023-May-09 23:41 ± < 00:01","0.00214","0.00214","7.07","6.90","27.6","7.8 m -   18 m","0"
"(2023 JA3)","2023-May-12 02:51 ±    00:05","0.00088","0.00088","8.00","7.62","29.7","3.0 m -  6.7 m","0"
"(2023 KT)","2023-May-17 19:35 ± < 00:01","0.00112","0.00111","8.76","8.48","28.4","5.7 m -   13 m","0"
"(2023 KS)","2023-May-22 10:01 ± < 00:01","0.00157","0.00157","18.21","18.12","27.6","7.8 m -   18 m","1"
"(2023 KK4)","2023-May-27 10:22 ± < 00:01","0.00231","0.00230","17.93","17.87","27.6","8.2 m -   18 m","0"
"(2023 KU4)","2023-May-27 11:38 ± < 00:01","0.00194","0.00194","7.19","7.00","28.2","6.2 m -   14 m","0"
"(2023 LC)","2023-Jun-07 01:42 ± < 00:01","0.00181","0.00181","4.41","4.07","28.7","4.9 m -   11 m","0"
"(2023 LS)","2023-Jun-09 00:58 ± < 00:01","0.00059","0.00059","4.51","3.37","29.9","2.7 m -  6.1 m","0"
"(2023 LP1)","2023-Jun-13 01:39 ±    00:03","0.00171","0.00171","13.40","13.28","29.7","3.1 m -  6.8 m","0"
"(2023 LZ)","2023-Jun-14 18:36 ± < 00:01","0.00212","0.00212","13.63","13.53","26.5","13 m -   30 m","1"
"(2023 LM1)","2023-Jun-15 22:50 ± < 00:01","0.00074","0.00074","9.19","8.79","28.5","5.3 m -   12 m","1"
"(2023 LE2)","2023-Jun-17 15:33 ± < 00:01","0.00105","0.00105","6.83","6.45","30.1","2.6 m -  5.7 m","0"
"(2023 MJ20)","2023-Jun-18 20:59 ± < 00:01","0.00030","0.00030","9.56","8.58","30.8","1.9 m -  4.1 m","0"
"(2023 MB3)","2023-Jun-20 03:13 ± < 00:01","0.00105","0.00105","8.95","8.67","30.0","2.7 m -  5.9 m","0"
"(2023 MD4)","2023-Jun-20 18:09 ± < 00:01","0.00194","0.00193","8.69","8.53","26.8","12 m -   26 m","1"
"(2023 MW2)","2023-Jun-23 07:16 ± < 00:01","0.00083","0.00083","9.81","9.48","30.0","2.7 m -  6.0 m","0"
"(2023 ML3)","2023-Jun-24 13:50 ± < 00:01","0.00174","0.00174","14.72","14.61","28.4","5.6 m -   13 m","0"
"(2023 MU2)","2023-Jun-25 23:19 ± < 00:01","0.00145","0.00145","4.52","4.09","29.1","4.0 m -  9.0 m","0"
"(2023 NO)","2023-Jul-05 22:12 ± < 00:01","0.00255","0.00255","7.95","7.82","28.6","4.9 m -   11 m","0"
"(2023 NT1)","2023-Jul-13 10:13 ± < 00:01","0.00067","0.00067","11.27","10.92","25.0","26 m -   58 m","3"
"(2023 QY)","2023-Aug-18 15:49 ±    00:11","0.00045","0.00044","13.22","12.77","28.6","5.0 m -   11 m","1"
"(2023 QS1)","2023-Aug-19 18:22 ± < 00:01","0.00072","0.00072","15.72","15.48","28.6","5.0 m -   11 m","1"
"(2023 QR)","2023-Aug-20 20:21 ± < 00:01","0.00139","0.00139","20.88","20.79","29.3","3.7 m -  8.2 m","0"
"(2023 RM16)","2023-Sep-05 12:58 ± < 00:01","0.00234","0.00234","8.68","8.55","28.9","4.4 m -  9.9 m","0"
"(2023 RF156)","2023-Sep-06 20:33 ± < 00:01","0.00242","0.00242","8.10","7.96","29.7","3.1 m -  7.0 m","0"
"(2023 RS)","2023-Sep-07 14:26 ± < 00:01","0.00007","0.00007","13.59","10.38","32.3","0.91 m -  2.0 m","0"
"(2023 RG22)","2023-Sep-07 18:55 ±    00:39","0.00255","0.00250","11.20","11.11","26.1","16 m -   35 m","1"
"(2023 RY2)","2023-Sep-08 06:42 ± < 00:01","0.00127","0.00126","10.49","10.28","28.3","5.8 m -   13 m","0"
"(2023 RK5)","2023-Sep-09 10:47 ± < 00:01","0.00188","0.00188","10.12","9.98","29.1","4.0 m -  9.0 m","0"
"(2023 RR5)","2023-Sep-13 13:11 ± < 00:01","0.00139","0.00139","13.79","13.65","28.8","4.7 m -   11 m","0"
"(2023 SR5)","2023-Sep-16 12:23 ±    00:12","0.00117","0.00116","9.35","9.10","28.7","4.9 m -   11 m","0"
"(2023 SC2)","2023-Sep-18 14:52 ± < 00:01","0.00116","0.00116","18.46","18.34","29.3","3.7 m -  8.2 m","0"
"(2023 SN1)","2023-Sep-20 07:42 ± < 00:01","0.00222","0.00222","16.20","16.12","29.3","3.6 m -  8.1 m","0"
"(2023 SL5)","2023-Sep-20 07:53 ±    00:03","0.00035","0.00035","13.89","13.33","28.8","4.6 m -   10 m","1"
"(2023 SM5)","2023-Sep-23 11:14 ± < 00:01","0.00251","0.00251","11.51","11.41","26.4","14 m -   32 m","1"
"(2023 SN8)","2023-Sep-24 09:35 ± < 00:01","0.00154","0.00153","8.29","8.08","28.0","6.6 m -   15 m","0"
"(2023 SP3)","2023-Sep-24 23:29 ± < 00:01","0.00220","0.00220","11.68","11.57","26.6","12 m -   28 m","1"
"(2023 SH7)","2023-Sep-25 16:50 ± < 00:01","0.00036","0.00036","8.62","7.71","31.6","1.3 m -  2.8 m","0"
"(2023 TY)","2023-Oct-03 22:37 ± < 00:01","0.00137","0.00136","13.13","12.98","29.1","3.9 m -  8.8 m","0"
"(2023 TR1)","2023-Oct-07 05:25 ± < 00:01","0.00072","0.00072","19.98","19.79","29.8","2.9 m -  6.4 m","0"
"(2023 TB1)","2023-Oct-07 13:26 ± < 00:01","0.00174","0.00174","9.36","9.19","29.3","3.7 m -  8.2 m","0"
"(2023 TK4)","2023-Oct-07 13:40 ±    00:10","0.00136","0.00135","14.23","14.09","28.7","4.8 m -   11 m","0"
"(2023 TJ4)","2023-Oct-07 21:08 ± < 00:01","0.00199","0.00198","12.55","12.45","29.4","3.6 m -  7.9 m","0"
"(2023 TZ65)","2023-Oct-10 02:27 ±    00:03","0.00120","0.00120","21.59","21.49","29.6","3.2 m -  7.0 m","0"
"(2023 TM3)","2023-Oct-10 12:57 ± < 00:01","0.00111","0.00111","11.51","11.30","26.9","11 m -   24 m","1"
"(2023 TV3)","2023-Oct-12 12:52 ± < 00:01","0.00056","0.00056","14.21","13.87","27.8","7.5 m -   17 m","1"
"(2023 TU15)","2023-Oct-12 23:46 ±    00:02","0.00195","0.00194","12.02","11.90","29.2","3.9 m -  8.8 m","0"
"(2023 TD7)","2023-Oct-14 11:11 ± < 00:01","0.00115","0.00114","10.09","9.86","29.2","3.8 m -  8.6 m","0"
"(2023 TO17)","2023-Oct-14 14:35 ± < 00:01","0.00036","0.00036","15.16","14.67","29.7","3.1 m -  6.9 m","0"
"(2023 UY)","2023-Oct-14 17:43 ±    00:02","0.00104","0.00104","8.03","7.71","30.0","2.7 m -  6.1 m","0"
"(2023 UB)","2023-Oct-15 19:08 ± < 00:01","0.00039","0.00039","15.55","15.11","30.1","2.6 m -  5.8 m","0"
"(2023 UX2)","2023-Oct-18 07:29 ± < 00:01","0.00136","0.00136","18.75","18.64","29.5","3.3 m -  7.5 m","0"
"(2023 UH9)","2023-Oct-18 17:12 ±    00:10","0.00070","0.00069","9.41","8.99","30.8","1.8 m -  4.1 m","0"
"(2023 UR10)","2023-Oct-20 04:24 ±    00:32","0.00009","0.00009","12.21","9.58","30.0","2.7 m -  6.1 m","1"
"(2023 TK15)","2023-Oct-20 07:16 ± < 00:01","0.00254","0.00254","21.95","21.90","25.9","18 m -   39 m","1"
"(2023 VA)","2023-Nov-02 05:37 ± < 00:01","0.00018","0.00018","11.30","9.90","28.6","5.1 m -   11 m","2"
"(2023 VG)","2023-Nov-02 18:29 ± < 00:01","0.00076","0.00076","8.53","8.11","28.3","5.9 m -   13 m","1"
"(2023 VE1)","2023-Nov-04 00:36 ± < 00:01","0.00023","0.00023","6.46","4.31","30.2","2.4 m -  5.4 m","1"
"(2023 VO1)","2023-Nov-04 20:19 ± < 00:01","0.00052","0.00052","16.36","16.05","29.6","3.2 m -  7.1 m","0"
"(2023 VS)","2023-Nov-07 01:18 ± < 00:01","0.00246","0.00246","3.54","3.22","29.8","2.9 m -  6.4 m","0"
"(2023 VB2)","2023-Nov-07 07:00 ± < 00:01","0.00022","0.00022","18.02","17.34","28.2","6.0 m -   13 m","2"
"(2023 VP3)","2023-Nov-07 08:57 ± < 00:01","0.00088","0.00088","6.64","6.17","29.5","3.4 m -  7.5 m","0"
"(2023 VD2)","2023-Nov-07 12:53 ± < 00:01","0.00038","0.00038","8.11","7.18","30.1","2.6 m -  5.7 m","0"
"(2023 VC4)","2023-Nov-08 06:55 ± < 00:01","0.00257","0.00257","9.51","9.40","27.0","11 m -   24 m","0"
"(2023 VD4)","2023-Nov-10 16:24 ± < 00:01","0.00097","0.00096","15.57","15.39","28.2","6.1 m -   14 m","1"
"(2023 WA)","2023-Nov-17 03:41 ± < 00:01","0.00018","0.00018","17.95","17.12","28.5","5.3 m -   12 m","2"
"(2023 WE2)","2023-Nov-19 10:07 ± < 00:01","0.00162","0.00162","7.26","7.03","27.0","10 m -   23 m","1"
